Struthio camelus,Ostrich,TC000001
Treron apicauda,Pin-tailed Pigeon,TC002654
Treron calvus,African Green-Pigeon,TC002655
Treron oxyurus,Green-spectacled Pigeon,TC002656
Treron sphenurus,Wedge-tailed Pigeon,TC002657
Treron sieboldii,White-bellied Pigeon,TC002658
Treron formosae,Whistling Green-Pigeon,TC002659
Ptilinopus cinctus,Black-backed Fruit-Dove,TC002661
Ptilinopus alligator,Black-banded Fruit-Dove,TC002662
Ptilinopus dohertyi,Red-naped Fruit-Dove,TC002663
Ptilinopus porphyreus,Pink-headed Fruit-Dove,TC002664
Ptilinopus occipitalis,Yellow-breasted Fruit-Dove,TC002665
Ptilinopus marchei,Flame-breasted Fruit-Dove,TC002666
Ptilinopus merrilli,Cream-breasted Fruit-Dove,TC002667
Ptilinopus fischeri,Red-eared Fruit-Dove,TC002668
Ptilinopus jambu,Jambu Fruit-Dove,TC002669
Ptilinopus epius,Maroon-chinned Fruit-Dove,TC012611
Ptilinopus subgularis,Banggai Fruit-Dove,TC012613
Ptilinopus mangoliensis,Sula Fruit-Dove,TC012612
Ptilinopus leclancheri,Black-chinned Fruit-Dove,TC002671
Ptilinopus bernsteinii,Scarlet-breasted Fruit-Dove,TC002672
Ptilinopus magnificus,Wompoo Fruit-Dove,TC002673
Ptilinopus perlatus,Pink-spotted Fruit-Dove,TC002674
Ptilinopus ornatus,Ornate Fruit-Dove,TC002675
Ptilinopus tannensis,Tanna Fruit-Dove,TC002676
Ptilinopus aurantiifrons,Orange-fronted Fruit-Dove,TC002677
Ptilinopus wallacii,Wallace's Fruit-Dove,TC002678
Ptilinopus superbus,Superb Fruit-Dove,TC002679
Ptilinopus perousii,Many-colored Fruit-Dove,TC002680
Ptilinopus porphyraceus,Crimson-crowned Fruit-Dove,TC002681
Ptilinopus pelewensis,Palau Fruit-Dove,TC002682
Ptilinopus rarotongensis,Cook Islands Fruit-Dove,TC002683
Ptilinopus roseicapilla,Mariana Fruit-Dove,TC002684
Ptilinopus regina,Rose-crowned Fruit-Dove,TC002685
Ptilinopus richardsii,Silver-capped Fruit-Dove,TC002686
Ptilinopus purpuratus,Gray-green Fruit-Dove,TC002687
Ptilinopus chalcurus,Makatea Fruit-Dove,TC002688
Ptilinopus coralensis,Atoll Fruit-Dove,TC002689
Ptilinopus greyii,Red-bellied Fruit-Dove,TC002690
Ptilinopus huttoni,Rapa Fruit-Dove,TC002691
Ptilinopus dupetithouarsii,White-capped Fruit-Dove,TC002692
Ptilinopus mercierii,Red-moustached Fruit-Dove,TC002693
Ptilinopus insularis,Henderson Island Fruit-Dove,TC002694
Ptilinopus coronulatus,Coroneted Fruit-Dove,TC002695
Ptilinopus pulchellus,Beautiful Fruit-Dove,TC002696
Ptilinopus monacha,Blue-capped Fruit-Dove,TC002697
Ptilinopus rivoli,White-breasted Fruit-Dove,TC002698
Ptilinopus solomonensis,Yellow-bibbed Fruit-Dove,TC002699
Ptilinopus viridis,Claret-breasted Fruit-Dove,TC002700
Ptilinopus eugeniae,White-headed Fruit-Dove,TC002701
Ptilinopus iozonus,Orange-bellied Fruit-Dove,TC002702
Ptilinopus insolitus,Knob-billed Fruit-Dove,TC002703
Ptilinopus hyogastrus,Gray-headed Fruit-Dove,TC002704
Ptilinopus granulifrons,Carunculated Fruit-Dove,TC002705
Ptilinopus melanospilus,Black-naped Fruit-Dove,TC002706
Ptilinopus nanus,Dwarf Fruit-Dove,TC002707
Ptilinopus arcanus,Negros Fruit-Dove,TC002708
Ptilinopus victor,Orange Dove,TC002709
Ptilinopus luteovirens,Golden Dove,TC002710
Ptilinopus layardi,Velvet Dove,TC002711
Drepanoptila holosericea,Cloven-feathered Dove,TC002713
Alectroenas nitidissimus,Mauritius Blue-Pigeon,TC002714
Alectroenas madagascariensis,Madagascar Blue-Pigeon,TC002715
Alectroenas sganzini,Comoro Blue-Pigeon,TC002716
Alectroenas pulcherrimus,Seychelles Blue-Pigeon,TC002717
Ducula poliocephala,Pink-bellied Imperial-Pigeon,TC002718
Ducula forsteni,White-bellied Imperial-Pigeon,TC002719
Ducula mindorensis,Mindoro Imperial-Pigeon,TC002720
Ducula radiata,Gray-headed Imperial-Pigeon,TC002721
Ducula carola,Spotted Imperial-Pigeon,TC002722
Ducula aenea,Green Imperial-Pigeon,TC002723
Ducula nicobarica,Nicobar Imperial-Pigeon,TC012525
Ducula perspicillata,Spectacled Imperial-Pigeon,TC012882
Ducula neglecta,Seram Imperial-Pigeon,TC012881
Ducula concinna,Elegant Imperial-Pigeon,TC002725
Ducula pacifica,Pacific Imperial-Pigeon,TC002726
Ducula rubricera,Red-knobbed Imperial-Pigeon,TC002727
Ducula oceanica,Micronesian Imperial-Pigeon,TC002728
Ducula aurorae,Polynesian Imperial-Pigeon,TC002729
Ducula galeata,Marquesas Imperial-Pigeon,TC002730
Ducula myristicivora,Spice Imperial-Pigeon,TC002731
Ducula rufigaster,Purple-tailed Imperial-Pigeon,TC002732
Ducula basilica,Cinnamon-bellied Imperial-Pigeon,TC002733
Ducula finschii,Finsch's Imperial-Pigeon,TC002734
Ducula chalconota,Rufescent Imperial-Pigeon,TC002735
Ducula pistrinaria,Island Imperial-Pigeon,TC002736
Ducula rosacea,Pink-headed Imperial-Pigeon,TC002737
Ducula whartoni,Christmas Island Imperial-Pigeon,TC002738
Ducula pickeringii,Gray Imperial-Pigeon,TC002739
Ducula latrans,Peale's Imperial-Pigeon,TC002740
Ducula brenchleyi,Chestnut-bellied Imperial-Pigeon,TC002741
Ducula bakeri,Baker's Imperial-Pigeon,TC002742
Ducula goliath,New Caledonian Imperial-Pigeon,TC002743
Ducula pinon,Pinon Imperial-Pigeon,TC002744
Ducula melanochroa,Bismarck Imperial-Pigeon,TC002745
Ducula mullerii,Collared Imperial-Pigeon,TC002746
Ducula zoeae,Zoe Imperial-Pigeon,TC002747
Ducula badia,Mountain Imperial-Pigeon,TC002748
Ducula lacernulata,Dark-backed Imperial-Pigeon,TC002749
Ducula cineracea,Timor Imperial-Pigeon,TC002750
Ducula bicolor,Pied Imperial-Pigeon,TC002751
Ducula spilorrhoa,Torresian Imperial-Pigeon,TC002752
Ducula luctuosa,Silver-tipped Imperial-Pigeon,TC002753
Lopholaimus antarcticus,Topknot Pigeon,TC002755
Hemiphaga novaeseelandiae,New Zealand Pigeon,TC002756
Hemiphaga chathamensis,Chatham Island Pigeon,TC002757
Hemiphaga spadicea,Norfolk Island Pigeon,TC002758
Cryptophaps poecilorrhoa,Sombre Pigeon,TC002759
Gymnophaps albertisii,Papuan Mountain-Pigeon,TC002760
Gymnophaps mada,Buru Mountain-Pigeon,TC012606
Gymnophaps stalkeri,Seram Mountain-Pigeon,TC012607
Gymnophaps solomonensis,Pale Mountain-Pigeon,TC002762
Corythaeola cristata,Great Blue Turaco,TC003185
Tauraco persa,Guinea Turaco,TC003186
Tauraco livingstonii,Livingstone's Turaco,TC003187
Tauraco schalowi,Schalow's Turaco,TC003188
Tauraco corythaix,Knysna Turaco,TC003189
Tauraco schuettii,Black-billed Turaco,TC003190
Tauraco leucolophus,White-crested Turaco,TC003191
Tauraco fischeri,Fischer's Turaco,TC003192
Tauraco macrorhynchus,Yellow-billed Turaco,TC003193
Tauraco bannermani,Bannerman's Turaco,TC003194
Tauraco erythrolophus,Red-crested Turaco,TC003195
Tauraco hartlaubi,Hartlaub's Turaco,TC003196
Tauraco leucotis,White-cheeked Turaco,TC003197
Tauraco ruspolii,Prince Ruspoli's Turaco,TC003198
Tauraco porphyreolophus,Purple-crested Turaco,TC003199
Ruwenzorornis johnstoni,Ruwenzori Turaco,TC003200
Musophaga violacea,Violet Turaco,TC003201
Musophaga rossae,Ross's Turaco,TC003202
Corythaixoides personatus,Bare-faced Go-away-bird,TC003203
Corythaixoides concolor,Gray Go-away-bird,TC003204
Corythaixoides leucogaster,White-bellied Go-away-bird,TC003205
Crinifer piscator,Western Plantain-eater,TC003206
Crinifer zonurus,Eastern Plantain-eater,TC003207
Opisthocomus hoazin,Hoatzin,TC003208
Clamator jacobinus,Pied Cuckoo,TC003209
Clamator levaillantii,Levaillant's Cuckoo,TC003210
Clamator coromandus,Chestnut-winged Cuckoo,TC003211
Clamator glandarius,Great Spotted Cuckoo,TC003212
Pachycoccyx audeberti,Thick-billed Cuckoo,TC003213
Hierococcyx sparverioides,Large Hawk-Cuckoo,TC003214
Hierococcyx varius,Common Hawk-Cuckoo,TC003215
Hierococcyx vagans,Moustached Hawk-Cuckoo,TC003216
Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,TC003217
Hierococcyx hyperythrus,Northern Hawk-Cuckoo,TC003218
Hierococcyx fugax,Malaysian Hawk-Cuckoo,TC003219
Hierococcyx pectoralis,Philippine Hawk-Cuckoo,TC003220
Cuculus solitarius,Red-chested Cuckoo,TC003221
Cuculus clamosus,Black Cuckoo,TC003222
Cuculus micropterus,Indian Cuckoo,TC003223
Cuculus canorus,Common Cuckoo,TC003224
Cuculus gularis,African Cuckoo,TC003225
Cuculus saturatus,Himalayan Cuckoo,TC003226
Cuculus optatus,Oriental Cuckoo,TC003227
Cuculus lepidus,Sunda Cuckoo,TC003228
Cuculus poliocephalus,Lesser Cuckoo,TC003229
Cuculus crassirostris,Sulawesi Cuckoo,TC003230
Cuculus rochii,Madagascar Cuckoo,TC003231
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,TC003233
Cercococcyx olivinus,Olive Long-tailed Cuckoo,TC003234
Cercococcyx montanus,Barred Long-tailed Cuckoo,TC003235
Cacomantis pallidus,Pallid Cuckoo,TC003236
Cacomantis leucolophus,White-crowned Koel,TC003237
Cacomantis sonneratii,Banded Bay Cuckoo,TC003238
Cacomantis merulinus,Plaintive Cuckoo,TC003239
Cacomantis passerinus,Gray-bellied Cuckoo,TC012688
Cacomantis variolosus,Brush Cuckoo,TC003240
Cacomantis heinrichi,Moluccan Cuckoo,TC003241
Cacomantis castaneiventris,Chestnut-breasted Cuckoo,TC003242
Cacomantis flabelliformis,Fan-tailed Cuckoo,TC003243
Chrysococcyx osculans,Black-eared Cuckoo,TC003245
Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,TC003246
Chrysococcyx lucidus,Shining Bronze-Cuckoo,TC003247
Chrysococcyx ruficollis,Rufous-throated Bronze-Cuckoo,TC003252
Chrysococcyx meyeri,White-eared Bronze-Cuckoo,TC003253
Chrysococcyx minutillus,Little Bronze-Cuckoo,TC003254
Chrysococcyx maculatus,Asian Emerald Cuckoo,TC003255
Chrysococcyx xanthorhynchus,Violet Cuckoo,TC003256
Chrysococcyx flavigularis,Yellow-throated Cuckoo,TC003257
Chrysococcyx klaas,Klaas's Cuckoo,TC003258
Chrysococcyx cupreus,African Emerald Cuckoo,TC003259
Chrysococcyx caprius,Dideric Cuckoo,TC003260
Rhamphomantis megarhynchus,Long-billed Cuckoo,TC003261
Surniculus lugubris,Square-tailed Drongo-Cuckoo,TC012241
Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,TC012240
Surniculus musschenbroeki,Moluccan Drongo-Cuckoo,TC012242
Surniculus velutinus,Philippine Drongo-Cuckoo,TC003263
Microdynamis parva,Dwarf Koel,TC003264
Eudynamys melanorhynchus,Black-billed Koel,TC003265
Eudynamys scolopaceus,Asian Koel,TC003266
Eudynamys cyanocephalus,Australian Koel,TC003267
Eudynamys taitensis,Long-tailed Koel,TC003268
Scythrops novaehollandiae,Channel-billed Cuckoo,TC003269
Ceuthmochares aereus,Yellowbill,TC003270
Phaenicophaeus diardi,Black-bellied Malkoha,TC003271
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,TC003272
Phaenicophaeus viridirostris,Blue-faced Malkoha,TC003273
Phaenicophaeus tristis,Green-billed Malkoha,TC003274
Phaenicophaeus leschenaultii,Sirkeer Malkoha,TC003275
Phaenicophaeus chlorophaeus,Raffles's Malkoha,TC003276
Phaenicophaeus javanicus,Red-billed Malkoha,TC003277
Phaenicophaeus calyorhynchus,Yellow-billed Malkoha,TC003278
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,TC003279
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,TC003280
Phaenicophaeus superciliosus,Red-crested Malkoha,TC003281
Phaenicophaeus cumingi,Scale-feathered Malkoha,TC003282
Carpococcyx viridis,Sumatran Ground-Cuckoo,TC003283
Carpococcyx radiatus,Bornean Ground-Cuckoo,TC003284
Carpococcyx renauldi,Coral-billed Ground-Cuckoo,TC003285
Coua delalandei,Snail-eating Coua,TC003286
Coua gigas,Giant Coua,TC003287
Coua coquereli,Coquerel's Coua,TC003288
Coua serriana,Red-breasted Coua,TC003289
Coua reynaudii,Red-fronted Coua,TC003290
Coua ruficeps,Red-capped Coua,TC003291
Coua cursor,Running Coua,TC003294
Coua cristata,Crested Coua,TC003295
Coua verreauxi,Verreaux's Coua,TC003296
Coua caerulea,Blue Coua,TC003297
Centropus celebensis,Bay Coucal,TC003298
Centropus unirufus,Rufous Coucal,TC003299
Centropus melanops,Black-faced Coucal,TC003300
Centropus nigrorufus,Sunda Coucal,TC003301
Centropus milo,Buff-headed Coucal,TC003302
Centropus goliath,Goliath Coucal,TC003303
Centropus violaceus,Violaceous Coucal,TC003304
Centropus menbeki,Greater Black Coucal,TC003305
Centropus ateralbus,Pied Coucal,TC003306
Centropus phasianinus,Pheasant Coucal,TC003307
Centropus spilopterus,Kai Coucal,TC003308
Centropus bernsteini,Lesser Black Coucal,TC003309
Centropus chalybeus,Biak Coucal,TC003310
Centropus rectunguis,Short-toed Coucal,TC003311
Centropus steerii,Black-hooded Coucal,TC003312
Centropus sinensis,Greater Coucal,TC003313
Centropus andamanensis,Andaman Coucal,TC003314
Centropus viridis,Philippine Coucal,TC003315
Centropus toulou,Madagascar Coucal,TC003316
Centropus grillii,Black Coucal,TC003317
Centropus chlororhynchus,Green-billed Coucal,TC003318
Centropus bengalensis,Lesser Coucal,TC003319
Centropus leucogaster,Black-throated Coucal,TC003320
Centropus anselli,Gabon Coucal,TC003321
Centropus monachus,Blue-headed Coucal,TC003322
Centropus cupreicaudus,Coppery-tailed Coucal,TC003323
Centropus senegalensis,Senegal Coucal,TC003324
Centropus superciliosus,White-browed Coucal,TC003325
Coccycua minuta,Little Cuckoo,TC003328
Coccycua pumila,Dwarf Cuckoo,TC003329
Coccycua cinerea,Ash-colored Cuckoo,TC003330
Piaya cayana,Squirrel Cuckoo,TC003331
Piaya melanogaster,Black-bellied Cuckoo,TC003336
Coccyzus melacoryphus,Dark-billed Cuckoo,TC003337
Coccyzus lansbergi,Gray-capped Cuckoo,TC003338
Coccyzus americanus,Yellow-billed Cuckoo,TC003339
Coccyzus euleri,Pearly-breasted Cuckoo,TC003340
Coccyzus minor,Mangrove Cuckoo,TC003341
Coccyzus ferrugineus,Cocos Cuckoo,TC003342
Coccyzus erythropthalmus,Black-billed Cuckoo,TC003343
Coccyzus pluvialis,Chestnut-bellied Cuckoo,TC003345
Coccyzus rufigularis,Bay-breasted Cuckoo,TC003346
Coccyzus vetula,Jamaican Lizard-Cuckoo,TC003347
Coccyzus vieilloti,Puerto Rican Lizard-Cuckoo,TC003348
Coccyzus merlini,Great Lizard-Cuckoo,TC003349
Coccyzus longirostris,Hispaniolan Lizard-Cuckoo,TC003350
Guira guira,Guira Cuckoo,TC003352
Tapera naevia,Striped Cuckoo,TC003353
Dromococcyx phasianellus,Pheasant Cuckoo,TC003354
Dromococcyx pavoninus,Pavonine Cuckoo,TC003355
Morococcyx erythropygus,Lesser Ground-Cuckoo,TC003356
Geococcyx velox,Lesser Roadrunner,TC003357
Geococcyx californianus,Greater Roadrunner,TC003358
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo,TC003359
Neomorphus squamiger,Scaled Ground-Cuckoo,TC003360
Neomorphus radiolosus,Banded Ground-Cuckoo,TC003361
Neomorphus rufipennis,Rufous-winged Ground-Cuckoo,TC003362
Neomorphus pucheranii,Red-billed Ground-Cuckoo,TC003363
Crotophaga major,Greater Ani,TC003364
Crotophaga ani,Smooth-billed Ani,TC003365
Crotophaga sulcirostris,Groove-billed Ani,TC003366
Tyto tenebricosa,Sooty Owl,TC003368
Tyto novaehollandiae,Australian Masked-Owl,TC003371
Tyto aurantia,Golden Masked-Owl,TC003372
Tyto almae,Seram Masked-Owl,TC013473
Tyto sororcula,Lesser Masked-Owl,TC003373
Tyto manusi,Manus Masked-Owl,TC003374
Tyto nigrobrunnea,Taliabu Masked-Owl,TC003375
Tyto inexspectata,Minahassa Masked-Owl,TC003376
Tyto rosenbergii,Sulawesi Masked-Owl,TC003377
Tyto longimembris,Australasian Grass-Owl,TC003378
Tyto capensis,African Grass-Owl,TC003379
Tyto alba,Barn Owl,TC003380
Tyto deroepstorffi,Andaman Masked-Owl,TC003384
Tyto glaucops,Ashy-faced Owl,TC003391
Tyto soumagnei,Madagascar Red Owl,TC003392
Phodilus badius,Oriental Bay-Owl,TC003393
Phodilus assimilis,Sri Lanka Bay-Owl,TC012804
Phodilus prigoginei,Congo Bay-Owl,TC003394
Otus sagittatus,White-fronted Scops-Owl,TC003395
Otus balli,Andaman Scops-Owl,TC003396
Otus rufescens,Reddish Scops-Owl,TC003397
Otus thilohoffmanni,Serendib Scops-Owl,TC003398
Otus icterorhynchus,Sandy Scops-Owl,TC003399
Otus ireneae,Sokoke Scops-Owl,TC003400
Otus alfredi,Flores Scops-Owl,TC003401
Otus spilocephalus,Mountain Scops-Owl,TC003402
Otus brookii,Rajah Scops-Owl,TC003403
Otus angelinae,Javan Scops-Owl,TC003404
Otus mentawi,Mentawai Scops-Owl,TC003405
Otus bakkamoena,Indian Scops-Owl,TC003406
Otus lettia,Collared Scops-Owl,TC003407
Otus gurneyi,Giant Scops-Owl,TC003477
Otus lempiji,Sunda Scops-Owl,TC003408
Otus semitorques,Japanese Scops-Owl,TC003409
Otus silvicola,Wallace's Scops-Owl,TC003410
Otus fuliginosus,Palawan Scops-Owl,TC003411
Otus megalotis,Philippine Scops-Owl,TC003412
Otus everetti,Everett's Scops-Owl,TC013193
Otus nigrorum,Negros Scops-Owl,TC013194
Otus mirus,Mindanao Scops-Owl,TC003413
Otus longicornis,Luzon Scops-Owl,TC003414
Otus mindorensis,Mindoro Scops-Owl,TC003415
Otus brucei,Pallid Scops-Owl,TC003416
Otus senegalensis,African Scops-Owl,TC003417
Otus scops,European Scops-Owl,TC003418
Otus magicus,Moluccan Scops-Owl,TC003420
Otus jolandae,Rinjani Scops-Owl,TC013480
Otus mantananensis,Mantanani Scops-Owl,TC003421
Otus elegans,Ryukyu Scops-Owl,TC003422
Otus manadensis,Sulawesi Scops-Owl,TC003423
Otus collari,Sangihe Scops-Owl,TC003424
Otus beccarii,Biak Scops-Owl,TC003425
Otus insularis,Seychelles Scops-Owl,TC003426
Otus umbra,Simeulue Scops-Owl,TC003427
Otus enganensis,Enggano Scops-Owl,TC003428
Otus alius,Nicobar Scops-Owl,TC003429
Otus pembaensis,Pemba Scops-Owl,TC003430
Otus pauliani,Comoro Scops-Owl,TC003431
Otus capnodes,Anjouan Scops-Owl,TC003432
Otus moheliensis,Moheli Scops-Owl,TC003433
Otus rutilus,Malagasy Scops-Owl,TC003434
Otus madagascariensis,Torotoroka Scops-Owl,TC003435
Otus mayottensis,Mayotte Scops-Owl,TC003436
Otus hartlaubi,Sao Tome Scops-Owl,TC003437
Otus sunia,Oriental Scops-Owl,TC003438
Psiloscops flammeolus,Flammulated Owl,TC003419
Megascops kennicottii,Western Screech-Owl,TC003440
Megascops asio,Eastern Screech-Owl,TC003444
Megascops seductus,Balsas Screech-Owl,TC003447
Megascops cooperi,Pacific Screech-Owl,TC003448
Megascops trichopsis,Whiskered Screech-Owl,TC003449
Megascops choliba,Tropical Screech-Owl,TC003450
Megascops roboratus,Peruvian Screech-Owl,TC003451
Megascops koepckeae,Koepcke's Screech-Owl,TC003452
Megascops barbarus,Bearded Screech-Owl,TC003453
Megascops colombianus,Colombian Screech-Owl,TC003454
Megascops ingens,Rufescent Screech-Owl,TC003455
Megascops petersoni,Cinnamon Screech-Owl,TC003456
Megascops marshalli,Cloud-forest Screech-Owl,TC003457
Megascops watsonii,Tawny-bellied Screech-Owl,TC003458
Megascops atricapilla,Black-capped Screech-Owl,TC003461
Megascops hoyi,Montane Forest Screech-Owl,TC003462
Megascops sanctaecatarinae,Long-tufted Screech-Owl,TC003463
Megascops guatemalae,Vermiculated Screech-Owl,TC003464
Megascops clarkii,Bare-shanked Screech-Owl,TC003469
Megascops nudipes,Puerto Rican Screech-Owl,TC003470
Megascops albogularis,White-throated Screech-Owl,TC003471
Pyrroglaux podarginus,Palau Owl,TC003473
Margarobyas lawrencii,Bare-legged Owl,TC003474
Ptilopsis leucotis,Northern White-faced Owl,TC003475
Ptilopsis granti,Southern White-faced Owl,TC003476
Lophostrix cristata,Crested Owl,TC003478
Jubula lettii,Maned Owl,TC003479
Pulsatrix perspicillata,Spectacled Owl,TC003480
Pulsatrix koeniswaldiana,Tawny-browed Owl,TC003481
Pulsatrix melanota,Band-bellied Owl,TC003482
Bubo virginianus,Great Horned Owl,TC003483
Bubo bubo,Eurasian Eagle-Owl,TC003486
Bubo bengalensis,Rock Eagle-Owl,TC003487
Bubo ascalaphus,Pharaoh Eagle-Owl,TC003488
Bubo capensis,Cape Eagle-Owl,TC003489
Bubo africanus,Spotted Eagle-Owl,TC003490
Bubo cinerascens,Grayish Eagle-Owl,TC003491
Bubo poensis,Fraser's Eagle-Owl,TC003492
Bubo vosseleri,Usambara Eagle-Owl,TC003493
Bubo nipalensis,Spot-bellied Eagle-Owl,TC003494
Bubo sumatranus,Barred Eagle-Owl,TC003495
Bubo shelleyi,Shelley's Eagle-Owl,TC003496
Bubo lacteus,Verreaux's Eagle-Owl,TC003497
Bubo coromandus,Dusky Eagle-Owl,TC003498
Bubo leucostictus,Akun Eagle-Owl,TC003499
Bubo philippensis,Philippine Eagle-Owl,TC003500
Bubo scandiacus,Snowy Owl,TC003501
Ketupa blakistoni,Blakiston's Fish-Owl,TC003502
Ketupa zeylonensis,Brown Fish-Owl,TC003503
Ketupa flavipes,Tawny Fish-Owl,TC003504
Ketupa ketupu,Buffy Fish-Owl,TC003505
Scotopelia peli,Pel's Fishing-Owl,TC003506
Scotopelia ussheri,Rufous Fishing-Owl,TC003507
Scotopelia bouvieri,Vermiculated Fishing-Owl,TC003508
Surnia ulula,Northern Hawk Owl,TC003509
Glaucidium passerinum,Eurasian Pygmy-Owl,TC003510
Glaucidium brodiei,Collared Owlet,TC003511
Glaucidium perlatum,Pearl-spotted Owlet,TC003512
Glaucidium gnoma,Northern Pygmy-Owl,TC003513
Glaucidium costaricanum,Costa Rican Pygmy-Owl,TC003519
Glaucidium nubicola,Cloud-forest Pygmy-Owl,TC003520
Glaucidium jardinii,Andean Pygmy-Owl,TC003521
Glaucidium bolivianum,Yungas Pygmy-Owl,TC003522
Glaucidium parkeri,Subtropical Pygmy-Owl,TC003523
Glaucidium griseiceps,Central American Pygmy-Owl,TC003524
Glaucidium sanchezi,Tamaulipas Pygmy-Owl,TC003525
Glaucidium palmarum,Colima Pygmy-Owl,TC003526
Glaucidium hardyi,Amazonian Pygmy-Owl,TC003527
Glaucidium mooreorum,Pernambuco Pygmy-Owl,TC003528
Glaucidium minutissimum,Least Pygmy-Owl,TC003529
Glaucidium brasilianum,Ferruginous Pygmy-Owl,TC003530
Glaucidium nana,Austral Pygmy-Owl,TC003533
Glaucidium peruanum,Peruvian Pygmy-Owl,TC003534
Glaucidium siju,Cuban Pygmy-Owl,TC003535
Glaucidium tephronotum,Red-chested Owlet,TC003536
Glaucidium sjostedti,Sjostedt's Owlet,TC003537
Glaucidium cuculoides,Asian Barred Owlet,TC003538
Glaucidium castanopterum,Javan Owlet,TC003539
Glaucidium radiatum,Jungle Owlet,TC003540
Glaucidium castanonotum,Chestnut-backed Owlet,TC003541
Glaucidium capense,African Barred Owlet,TC003542
Glaucidium castaneum,Chestnut Owlet,TC003543
Glaucidium albertinum,Albertine Owlet,TC003544
Xenoglaux loweryi,Long-whiskered Owlet,TC003546
Micrathene whitneyi,Elf Owl,TC003547
Athene cunicularia,Burrowing Owl,TC003548
Athene brama,Spotted Owlet,TC003551
Athene blewitti,Forest Owlet,TC003552
Athene noctua,Little Owl,TC003553
Ciccaba virgata,Mottled Owl,TC003555
Ciccaba nigrolineata,Black-and-white Owl,TC003556
Ciccaba huhula,Black-banded Owl,TC003557
Ciccaba albitarsis,Rufous-banded Owl,TC003558
Strix seloputo,Spotted Wood-Owl,TC003559
Strix ocellata,Mottled Wood-Owl,TC003560
Strix leptogrammica,Brown Wood-Owl,TC003561
Strix aluco,Tawny Owl,TC003562
Strix nivicola,Himalayan Owl,TC012557
Strix butleri,Hume's Owl,TC003563
Strix occidentalis,Spotted Owl,TC003564
Strix varia,Barred Owl,TC003569
Strix fulvescens,Fulvous Owl,TC003570
Strix hylophila,Rusty-barred Owl,TC003571
Strix rufipes,Rufous-legged Owl,TC003572
Strix chacoensis,Chaco Owl,TC003573
Strix uralensis,Ural Owl,TC003574
Strix davidi,Pere David's Owl,TC003575
Strix nebulosa,Great Gray Owl,TC003576
Strix woodfordii,African Wood-Owl,TC003577
Asio otus,Long-eared Owl,TC003578
Asio abyssinicus,African Long-eared Owl,TC003579
Asio madagascariensis,Madagascar Long-eared Owl,TC003580
Asio stygius,Stygian Owl,TC003581
Asio flammeus,Short-eared Owl,TC003582
Asio capensis,Marsh Owl,TC003588
Nesasio solomonensis,Fearful Owl,TC003589
Pseudoscops clamator,Striped Owl,TC003590
Pseudoscops grammicus,Jamaican Owl,TC003591
Aegolius funereus,Boreal Owl,TC003592
Aegolius acadicus,Northern Saw-whet Owl,TC003593
Aegolius ridgwayi,Unspotted Saw-whet Owl,TC003594
Aegolius harrisii,Buff-fronted Owl,TC003595
Ninox rufa,Rufous Owl,TC003596
Ninox strenua,Powerful Owl,TC003597
Ninox connivens,Barking Owl,TC003598
Ninox rudolfi,Sumba Boobook,TC003599
Ninox affinis,Andaman Boobook,TC003600
Ninox novaeseelandiae,Southern Boobook,TC003601
Ninox sumbaensis,Least Boobook,TC003604
Ninox scutulata,Brown Boobook,TC003605
Ninox obscura,Hume's Boobook,TC012327
Ninox japonica,Northern Boobook,TC003606
Ninox randi,Chocolate Boobook,TC003607
Ninox superciliaris,White-browed Owl,TC003608
Ninox philippensis,Luzon Boobook,TC003609
Ninox spilocephala,Mindanao Boobook,TC013485
Ninox mindorensis,Mindoro Boobook,TC013486
Ninox spilonotus,Romblon Boobook,TC013487
Ninox rumseyi,Cebu Boobook,TC013488
Ninox leventisi,Camiguin Boobook,TC013489
Ninox reyi,Sulu Boobook,TC013490
Ninox ochracea,Ochre-bellied Boobook,TC003610
Ninox burhani,Togian Boobook,TC003611
Ninox ios,Cinnabar Boobook,TC003612
Ninox hypogramma,Halmahera Boobook,TC012644
Ninox forbesi,Tanimbar Boobook,TC012643
Ninox squamipila,Hantu Boobook,TC012645
Ninox natalis,Christmas Island Boobook,TC003614
Ninox theomacha,Jungle Boobook,TC003615
Ninox meeki,Manus Boobook,TC003616
Ninox punctulata,Speckled Boobook,TC003617
Ninox variegata,Bismarck Boobook,TC003618
Ninox odiosa,New Britain Boobook,TC003619
Ninox jacquinoti,Solomons Boobook,TC003620
Uroglaux dimorpha,Papuan Boobook,TC003621
Sceloglaux albifacies,Laughing Owl,TC003622
Aegotheles savesi,New Caledonian Owlet-Nightjar,TC003630
Aegotheles insignis,Feline Owlet-Nightjar,TC003624
Aegotheles tatei,Starry Owlet-Nightjar,TC003625
Aegotheles wallacii,Wallace's Owlet-Nightjar,TC003627
Aegotheles archboldi,Archbold's Owlet-Nightjar,TC003628
